Unique Name	AmplificationPeak1	AmplificationPeak2	AmplificationPeak3	AmplificationPeak4	AmplificationPeak5	AmplificationPeak6	AmplificationPeak7	AmplificationPeak8	AmplificationPeak9	AmplificationPeak10	AmplificationPeak11	AmplificationPeak12	AmplificationPeak13	AmplificationPeak14	AmplificationPeak15	AmplificationPeak16	AmplificationPeak17	AmplificationPeak18	AmplificationPeak19	AmplificationPeak20	AmplificationPeak21	AmplificationPeak22	AmplificationPeak23	AmplificationPeak24	AmplificationPeak25	AmplificationPeak26
																	FAM89B									
																	EHBP1L1									
																	KCNK7									
																	MAP3K11									
																	PCNXL3									
																	SIPA1									
																	RELA									
																	HTATIP									
																	RNASEH2C									
																	DKFZP761E198									
																	OVOL1									
																	SNX32									
																	CFL1									
																	MUS81									
																	EFEMP2									
																	CTSW									
																	FIBP									
																	CCDC85B									
																	FOSL1									
																	C11ORF68									
																	DRAP1									
																	TSGA10IP									
																	SART1									
																	EIF1AD									
																	BANF1									
																	CST6									
																	CATSPER1									
																	GAL3ST3									
																	SF3B2									
																	PACS1									
																	KLC2									
																	RAB1B									
																	CNIH2									
																	YIF1A									
																	TMEM151A									
																	CD248									
																	RIN1									
																	BRMS1									
																	B3GNT1									
																	SLC29A2									
																	NPAS4									
																	MRPL11									
																	PELI3									
																	DPP3									
																	BBS1									
																	ZDHHC24									
																	ACTN3									
																	CTSF									
																	CCDC87									
																	CCS									
																	RBM14									
																	RBM4									
																	RBM4B									
																	SPTBN2									
																	C11ORF80									
																	RCE1									
																	PC									
																	LRFN4									
																	SYT12									
																	RHOD									
																	FBXL11									
																	ADRBK1									
																	ANKRD13D									
																	SSH3									
																	POLD4									
																	CLCF1									
																	RAD9A									
																	PPP1CA									
																	TBC1D10C									
																	KIAA1394									
																	RPS6KB2									
																	PTPRCAP									
																	CORO1B									
																	GPR152									
																	CABP4									
																	TMEM134									
																	AIP									
																	PITPNM1									
																	CDK2AP2									
																	CABP2									
																	GSTP1									
																	NDUFV1									
																	NUDT8									
																	TBX10									
																	ACY3									
																	ALDH3B2									
																	UNC93B1									
																	ALDH3B1									
																	NDUFS8									
																	TCIRG1									
																	CHKA									
																	SUV420H1									
																	C11ORF24									
																	LRP5									
																	SAPS3									
																	GAL									
																	MTL5									
																	CPT1A									
																	CPT1A									
																	MRPL21									
																	IGHMBP2									
																	MRGPRD									
																	MRGPRF									
																	TPCN2									
																	MYEOV									
																	CCND1									
																	ORAOV1									
																	FGF19									
																	FGF4									
																	FGF3									
																	TMEM16A									
																	FADD									
																	PPFIA1									
																	CTTN									
																	SHANK2									
																	DHCR7									
																	NADSYN1									
																	KRTAP5-7									
																	KRTAP5-8									
																	KRTAP5-9									
																	KRTAP5-10									
																	KRTAP5-11									
																	FAM86C									
																	DEFB108B									
																	RNF121									
																	IL18BP									
																	NUMA1									
																	LRRC51									
																	C11ORF59									
																	C11ORF51									
																	FOLR3									
																	FOLR1									
																	FOLR1									
																	FOLR1									
																	FOLR2									
																	INPPL1									
																	PHOX2A									
																	CLPB									
																	PDE2A									
																	HSA-MIR-139									
																	CENTD2									
																	STARD10									
																	ATG16L2									
																	FCHSD2									
																	P2RY2									
																	P2RY6									
																	P2RY6									
																	ARHGEF17									
																	RELT									
																	KIAA0280									
																	PLEKHB1									
																	RAB6A									
																	MRPL48									
																	CHCHD8									
																	PAAF1									
																	DNAJB13									
																	UCP2									
																	UCP3									
																	C2CD3									
																	PPME1									
																	P4HA3									
																	PGM2L1									
																	KCNE3									
																	POLD3									
																	CHRDL2									
																	RNF169									
																	XRRA1									
																	SPCS2									
																	NEU3									
																	OR2AT4									
																	SLCO2B1									
																	ARRB1									
																	HSA-MIR-326									
																	RPS3									
																	FLJ33790									
																	GDPD5									
																	SERPINH1									
																	MAP6									
																	MOGAT2									
																	DGAT2									
																	UVRAG									
																	WNT11									
																	PRKRIR									
																	C11ORF30									
																	LRRC32									
																	TSKU									
																	PHCA									
																	B3GNT6									
																	CAPN5									
																	OMP									
																	MYO7A									
																	GDPD4									
																	PAK1									
																	AQP11									
																	CLNS1A									
																	RSF1									
																	C11ORF67									
																	INTS4									
																	KCTD14									
																	THRSP									
																	NDUFC2									
																	ALG8									
																	KCTD21									
																	USP35									
																	GAB2									
																	NARS2									
																	ODZ4									
																	HSA-MIR-708									
																	MGC33846									
																	PRCP									
																	C11ORF82									
																	RAB30									
																	PCF11									
																	ANKRD42									
																	CCDC90B									
																	DLG2									
																	TMEM126B									
																	TMEM126A									
																	CREBZF									
																	CCDC89									
																	SYTL2									
																	CCDC83									
																	PICALM									
																	EED									
																	C11ORF73									
																	CCDC81									
																	ME3									
																	PRSS23									
																	FZD4									
																	TMEM135									
																	RAB38									
																	CTSC									
																	GRM5									
																	TYR									
																	NOX4									
																	PSMAL									
																	LOC120126									
																	TRIM49									
																	LOC729384									
																	LOC729384									
																	NAALAD2									
																	CHORDC1									
																	FAT3									
																	MTNR1B									
																	SLC36A4									
																	CCDC67									
																	C11ORF75									
																	KIAA1731									
																	JOSD3									
																	C11ORF54									
																	MED17									
																	HEPHL1									
																	PANX1									
																	LOC390243									
																	GPR83									
																	MRE11A									
																	ANKRD49									
																	FUT4									
																	PIWIL4									
																	AMOTL1									
																	CWC15									
																	JMJD2D									
																	SFRS2B									
																	ENDOD1									
																	SESN3									
																	FAM76B									
																	CEP57									
																	MTMR2									
																	MAML2									
																	CCDC82									
																	JRKL									
																	CNTN5									
																	TMEM133									
																	PGR									
																	TRPC6									
																	ANGPTL5									
																	KIAA1377									
																	C11ORF70									
																	YAP1									
																	BIRC3									
																	BIRC2									
																	TMEM123									
																	MMP7									
																	MMP20									
																	MMP27									
																	MMP8									
																	MMP10									
																	MMP1									
																	MMP3									
																	MMP12									
																	MMP13									
																	DCUN1D5									
																	DYNC2H1									
																	PDGFD									
																	DDI1									
																	CASP4									
																	CASP5									
																	CASP1									
																	COP1									
																	INCA									
																	ICEBERG									
																	GRIA4									
																	GRIA4									
																	KIAA1826									
																	KBTBD3									
																	AASDHPPT									
																	GUCY1A2									
																	CWF19L2									
																	ALKBH8									
																	ELMOD1									
																	LOC643923									
																	SLN									
																	SLC35F2									
																	RAB39									
																	CUL5									
																	ACAT1									
																	NPAT									
																	ATM									
																	C11ORF65									
																	KDELC2									
																	EXPH5									
																	DDX10									
																	LOC399947									
																	ZC3H12C									
																	RDX									
																	FDX1									
																	ARHGAP20									
																	C11ORF53									
																	FLJ45803									
																	POU2AF1									
																	BTG4									
																	HSA-MIR-34B									
																	HSA-MIR-34C									
																	FLJ46266									
																	LAYN									
																	SNF1LK2									
																	PPP2R1B									
																	ALG9									
																	LOC91893									
																	C11ORF1									
																	CRYAB									
																	HSPB2									
																	C11ORF52									
																	DIXDC1									
																	DLAT									
																	PIH1D2									
																	C11ORF57									
																	TIMM8B									
																	SDHD									
																	IL18									
																	TEX12									
																	BCDO2									
																	PTS									
																	NCAM1									
																	TTC12									
																	ANKK1									
																	DRD2									
																	TMPRSS5									
																	ZW10									
																	LOC644672									
																	USP28									
																	HTR3B									
																	HTR3A									
																	ZBTB16									
																	NNMT									
																	C11ORF71									
																	RBM7									
																	REXO2									
																	FAM55A									
																	FAM55D									
																	CADM1									
																	BUD13									
																	ZNF259									
																	APOA5									
																	APOA4									
																	APOC3									
																	APOA1									
																	KIAA0999									
																	PAFAH1B2									
																	SIDT2									
																	TAGLN									
																	PCSK7									
																	RNF214									
																	BACE1									
																	CEP164									
																	DSCAML1									
																	FXYD2									
																	FXYD6									
																	TMPRSS13									
																	IL10RA									
																	TMPRSS4									
																	SCN4B									
																	SCN2B									
																	AMICA1									
																	MPZL3									
																	MPZL2									
																	CD3E									
																	CD3D									
																	CD3G									
																	UBE4A									
																	ATP5L									
																	MLL									
																	HBP21									
																	TMEM25									
																	C11ORF60									
																	ARCN1									
																	PHLDB1									
																	TREH									
																	DDX6									
																	CXCR5									
																	BCL9L									
																	UPK2									
																	FOXR1									
																	CCDC84									
																	RPS25									
																	TRAPPC4									
																	SLC37A4									
																	HYOU1									
																	VPS11									
																	HMBS									
																	H2AFX									
																	DPAGT1									
																	TMEM24									
																	MIZF									
																	ABCG4									
																	NLRX1									
																	PDZD3									
																	LOC283152									
																	CBL									
																	MCAM									
																	RNF26									
																	C1QTNF5									
																	MFRP									
																	USP2									
																	USP2									
																	THY1									
																	PVRL1									
																	TRIM29									
																	OAF									
																	POU2F3									
																	TMEM136									
																	ARHGEF12									
																	GRIK4									
																	TBCEL									
																	TECTA									
																	SC5DL									
																	SORL1									
																	HSA-MIR-125B-1									
																	BLID									
																	HSA-LET-7A-2									
																	HSA-MIR-100									
																	UBASH3B									
																	CRTAM									
																	C11ORF63									
																	BSX									
																	HSPA8									
																	ASAM									
																	GRAMD1B									
																	SCN3B									
																	ZNF202									
																	OR6X1									
																	OR6M1									
																	PMP22CD									
																	OR8D4									
																	OR4D5									
																	OR6T1									
																	OR10S1									
																	OR10G4									
																	OR10G9									
																	OR10G8									
																	OR10G7									
																	LOH11CR2A									
																	OR8G2									
																	OR8G1									
																	OR8G5									
																	OR8D1									
																	OR8D2									
																	OR8B2									
																	OR8B3									
																	OR8B4									
																	OR8B8									
																	OR8B12									
																	OR8A1									
																	PANX3									
																	TBRG1									
																	SIAE									
																	SPA17									
																	NRGN									
																	VSIG2									
																	ESAM									
																	C11ORF61									
																	ROBO3									
																	ROBO4									
																	HEPN1									
																	HEPACAM									
																	CCDC15									
																	SLC37A2									
																	LOC219854									
																	PKNOX2									
																	FEZ1									
																	EI24									
																	STT3A									
																	CHEK1									
																	CHEK1									
																	ACRV1									
																	PATE									
																	C11ORF38									
																	HYLS1									
																	PUS3									
																	DDX25									
																	CDON									
																	RPUSD4									
																	FAM118B									
																	SRPR									
																	FOXRED1									
																	TIRAP									
																	DCPS									
																	ST3GAL4									
																	KIRREL3									
																	ETS1									
																	FLI1									
																	KCNJ1									
																	KCNJ5									
																	C11ORF45									
																	P53AIP1									
																	RICS									
																	BARX2									
																	TMEM45B									
																	NFRKB									
																	PRDM10									
																	APLP2									
																	ST14									
																	ZBTB44									
																	ADAMTS8									
																	ADAMTS15									
																	SNX19									
																	HNT									
																	OPCML									
																	SPATA19									
																	IGSF9B									
																	JAM3									
																	NCAPD3									
																	VPS26B									
																	THYN1									
																	ACAD8									
																	GLB1L3									
																	GLB1L2									
																	B3GAT1									
